time,x,y
1702494263.6465006,13,42
1702494263.8966784,21,75
1702494264.146851,31,99
1702494264.3970203,46,117
1702494264.6471877,56,127
1702494264.6471877,53,110
1702494264.8974779,71,141
1702494265.1477711,103,146
1702494265.397941,137,179
1702494265.6481102,171,195
1702494265.8982794,191,191
1702494266.1484463,221,194
1702494266.1484463,224,205
1702494266.1484463,223,204
1702494266.1484463,222,203
1702494266.398625,286,140
1702494266.6488051,315,138
1702494266.8990002,338,132
1702494267.1492043,354,135
1702494267.1492043,351,121
1702494267.3993847,379,138
1702494267.6495566,408,148
1702494267.6495566,402,159
1702494267.6495566,403,154
1702494267.6495566,404,149
1702494267.6495566,405,143
1702494267.6495566,406,138
1702494267.8997355,435,151
1702494268.1499124,472,147
1702494268.4000921,513,138
1702494268.6502953,547,142
1702494268.9004884,571,142
1702494268.9004884,569,131
1702494268.9004884,583,93
1702494268.9004884,590,67
1702494269.1506767,593,147
1702494269.4008646,621,147
1702494269.4008646,617,140
1702494269.4008646,624,117
1702494269.6510417,652,145
1702494269.9012198,687,137
1702494269.9012198,681,140
1702494269.9012198,682,136
1702494269.9012198,683,130
1702494269.9012198,684,124
1702494269.9012198,685,119
1702494269.9012198,686,114
1702494270.1513953,718,135
1702494270.4015741,752,132
1702494270.6517396,778,133
1702494270.6517396,775,117
1702494270.6517396,781,95
1702494270.9018993,811,138
1702494271.1520693,848,136
1702494271.402247,877,140
1702494271.402247,871,148
1702494271.402247,877,124
1702494271.652429,909,144
1702494271.9026048,938,141
1702494271.9026048,939,120
1702494272.1527758,968,143
1702494272.4029496,1002,145
1702494272.4029496,1005,114
1702494272.4029496,1007,107
1702494272.6531296,1039,143
1702494272.903308,1088,140
1702494273.1534805,1121,139
1702494273.4036503,1152,140
1702494273.6538248,1193,134
1702494273.6538248,1204,87
1702494273.6538248,1214,50
1702494273.904004,1215,144
1702494274.1541786,1240,142
1702494274.404345,1256,152
1702494274.6545177,1267,278
1702494274.6545177,1255,107
