time,x,y
1702543621.3079672,13,111
1702543621.5583286,30,111
1702543621.8088708,66,117
1702543622.0593472,96,118
1702543622.3097825,163,125
1702543622.3097825,120,113
1702543622.560162,180,125
1702543622.8103714,242,127
1702543622.8103714,198,126
1702543623.0606735,262,126
1702543623.3111467,326,125
1702543623.3111467,281,124
1702543623.561627,345,128
1702543623.8119807,409,134
1702543623.8119807,363,130
1702543624.0623417,431,132
1702543624.312807,494,123
1702543624.312807,450,131
1702543624.5631661,517,130
1702543624.8133578,556,134
1702543625.0635624,593,134
1702543625.3138573,619,135
