time,x,y
1702541112.0598767,180,90
1702541112.0598767,19,30
1702541112.3103573,31,34
1702541112.5607953,183,91
1702541112.5607953,44,62
1702541112.8112085,56,67
1702541113.0616586,64,71
1702541113.312036,79,77
1702541113.5624077,106,78
1702541113.8128169,134,78
1702541114.0632644,152,79
1702541114.313647,171,80
1702541114.56407,197,80
1702541114.8144841,223,81
1702541115.064754,254,81
1702541115.3149889,278,81
1702541115.5652914,297,81
1702541115.8157523,318,81
1702541116.0662518,342,81
1702541116.316557,372,82
1702541116.5668588,413,82
1702541116.8173168,456,82
1702541117.067713,508,82
1702541117.3180652,549,75
1702541117.5683713,571,68
1702541117.8187714,593,52
1702541118.0691714,620,17
