time,x,y
1702494349.2258847,1244,187
1702494349.4760537,1202,196
1702494349.7262254,1139,200
1702494349.9763985,1098,201
1702494350.2265916,1072,199
1702494350.476787,1056,196
1702494350.7269678,1031,190
1702494350.9771514,1002,184
1702494351.2273288,984,189
1702494351.4775133,956,193
1702494351.7276964,926,193
1702494351.977869,918,265
1702494351.977869,912,278
1702494352.2280443,910,196
1702494352.4782252,891,192
1702494352.7284071,872,194
1702494352.9785748,858,194
1702494353.2287521,843,197
1702494353.4789732,826,200
1702494353.7291808,806,201
1702494353.979352,782,205
1702494354.2295442,766,208
1702494354.4797342,756,208
1702494354.7299094,739,208
1702494354.9800878,714,207
1702494355.230266,690,209
1702494355.4804506,667,207
1702494355.7306325,643,207
1702494355.9808047,625,207
1702494356.2309768,601,203
1702494356.4811518,577,200
1702494356.7313206,561,199
1702494356.9814823,537,196
1702494357.2316444,507,195
1702494357.4818087,476,192
1702494357.7319741,450,189
1702494357.9821384,426,186
1702494358.2323196,396,186
1702494358.4825063,369,187
1702494358.7326822,350,189
1702494358.9828494,332,186
1702494359.2330155,311,202
1702494359.483189,277,256
1702494359.7333717,245,264
1702494359.9835572,224,265
1702494360.2337327,200,280
1702494360.4839025,167,294
1702494360.7340693,132,294
1702494360.7340693,103,23
1702494360.9842396,88,175
1702494361.2344131,66,165
1702494361.4845822,42,164
1702494361.7347507,32,163
1702494361.984918,8,215
