time,x,y
1702461517.191502,567,368
1702461517.2252936,569,369
1702461517.3573225,574,369
1702461517.39172,575,369
1702461517.5086024,580,369
1702461517.5448136,580,369
1702461517.9950955,22,355
1702461518.0294256,24,354
1702461518.0634792,26,353
1702461518.09675,27,353
1702461518.129322,29,352
1702461518.1636963,30,352
1702461518.1983008,31,351
1702461518.2330563,33,351
1702461518.2669435,35,351
1702461518.2990115,38,352
1702461518.332583,40,352
1702461518.36715,41,352
1702461518.4007025,41,352
1702461518.4339871,41,351
1702461518.6991718,52,346
1702461518.7295556,52,346
1702461518.7619882,55,353
1702461518.8715134,65,351
1702461518.902995,67,351
1702461518.9358916,69,351
1702461518.9696364,71,349
1702461519.0045772,74,347
1702461519.038373,76,346
1702461519.0698202,77,345
1702461519.1031055,79,348
1702461519.13742,77,350
1702461519.1713498,79,349
1702461519.2048888,80,351
1702461519.2380857,83,352
1702461519.272687,85,351
1702461519.3063536,87,351
1702461519.3401377,89,350
1702461519.3748765,91,349
1702461519.406944,93,349
1702461519.441073,95,351
1702461519.4775367,95,355
1702461519.5194836,95,351
1702461519.5534282,96,351
1702461519.5724473,98,350
1702461519.6098523,100,352
1702461519.6486912,114,347
1702461519.673895,117,348
1702461519.7016656,113,352
1702461519.7517118,123,348
1702461519.8063502,124,348
1702461519.8412375,123,350
1702461519.8763165,124,349
1702461519.9102602,125,353
1702461519.9445438,126,353
1702461519.978561,124,354
1702461520.0442452,131,352
1702461520.0802138,133,352
1702461520.1144938,135,350
1702461520.146038,136,350
1702461520.2123492,141,348
1702461520.2463903,143,348
1702461520.2804484,145,347
1702461520.3143656,147,347
1702461520.3461761,150,348
1702461520.38026,152,348
1702461520.4142413,154,349
1702461520.447365,156,349
1702461520.4867346,158,348
1702461520.5274768,160,348
1702461520.5555363,162,347
1702461520.5791879,164,346
1702461520.6190968,165,346
1702461520.6575208,166,346
1702461520.6831946,161,354
1702461520.7148733,163,355
1702461520.7487211,165,355
1702461520.7805958,168,354
1702461520.849958,170,353
1702461520.8842154,172,353
1702461520.9181938,179,348
1702461520.968564,182,350
1702461521.0184984,182,349
1702461521.052056,183,349
1702461521.0862284,183,350
1702461521.1180115,185,350
1702461521.151453,187,350
1702461521.1854477,189,351
1702461521.217936,191,355
1702461521.2518225,189,355
1702461521.2858589,189,349
1702461521.3539085,196,354
1702461521.3857722,198,354
1702461521.4199297,200,355
1702461521.4560037,203,355
1702461521.5843334,209,351
1702461521.6368856,211,351
1702461521.6793725,213,351
1702461521.6925302,218,351
1702461521.7147114,220,351
1702461521.7471814,222,349
1702461521.782003,222,349
1702461521.8191755,222,350
1702461521.8577363,225,350
1702461521.889846,226,352
1702461521.9243612,225,355
1702461521.9584394,226,351
1702461521.9919596,228,363
1702461522.0578654,233,354
1702461522.091835,235,354
1702461522.125997,237,355
1702461522.1580229,241,354
1702461522.1924279,245,354
1702461522.2264657,244,357
1702461522.2597756,248,352
1702461522.293755,251,349
1702461522.326439,252,351
1702461522.360548,252,351
1702461522.3944788,253,351
1702461522.4283934,253,355
1702461522.465838,255,351
1702461522.5018268,257,350
1702461522.5345173,259,349
1702461522.5633497,260,348
1702461522.590716,259,349
1702461522.6259542,260,349
1702461522.6610804,262,352
1702461522.693303,262,353
1702461522.7227573,263,347
1702461522.89786,59,335
1702461523.0977244,71,361
1702461523.165718,73,352
1702461523.2001953,75,352
1702461523.2344317,76,352
1702461523.265901,579,369
1702461523.265901,78,350
1702461523.2997885,577,369
1702461523.2997885,72,353
1702461523.334165,576,369
1702461523.3683064,81,353
1702461523.402425,83,353
1702461523.4341757,572,369
1702461523.4341757,83,354
1702461523.4714494,571,369
1702461523.4714494,82,357
1702461523.5076466,570,369
1702461523.5076466,82,359
1702461523.5397544,84,359
1702461523.569843,87,360
1702461523.5960307,89,361
1702461523.6364594,567,368
1702461523.6364594,91,359
1702461523.6729584,89,354
1702461523.701349,86,352
1702461523.7314763,86,351
1702461523.760972,87,351
1702461523.7960615,86,351
1702461523.8333626,88,351
1702461523.869852,86,354
1702461523.9039145,88,356
1702461523.9376965,89,358
1702461523.971805,90,360
1702461524.006001,92,361
1702461524.0380046,99,360
1702461524.548364,115,364
1702461524.5749497,117,362
1702461524.6021438,118,363
1702461524.6377892,121,363
1702461524.673935,123,363
1702461524.704249,124,360
1702461524.9776196,119,363
1702461525.0118675,122,363
1702461525.0459619,123,363
1702461525.0798566,125,363
1702461525.2134233,566,368
1702461525.2476983,566,369
1702461525.2817757,567,370
1702461525.31385,569,371
1702461525.3477106,570,370
1702461525.381552,572,369
1702461525.4157126,573,370
1702461525.4514933,574,370
1702461525.523316,576,369
1702461525.5583954,578,369
1702461525.5829077,579,369
1702461525.6116438,580,370
1702461525.7447767,585,369
1702461526.562619,181,345
1702461526.5850134,181,347
1702461526.6240287,182,345
1702461526.6608992,182,345
1702461526.6875024,182,348
1702461526.7180047,183,355
1702461526.7489555,183,360
1702461526.7838545,185,361
1702461526.8210225,185,348
1702461526.8575306,186,347
1702461526.8916867,189,334
1702461526.9258745,183,347
1702461526.9258745,327,332
1702461526.9598804,183,347
1702461526.9598804,327,331
1702461526.9936252,184,349
1702461526.9936252,328,330
1702461527.0256174,184,349
1702461527.0597613,186,352
1702461527.093739,185,353
1702461527.127739,185,362
1702461527.1616926,188,362
1702461527.193624,189,363
1702461527.7607272,618,372
1702461527.824263,219,366
1702461527.8633986,220,363
1702461527.9337487,219,356
1702461527.9657106,220,352
1702461527.999576,220,348
1702461528.0335636,220,347
1702461528.0676546,222,344
1702461528.1016583,222,337
1702461528.1337104,223,337
1702461528.2352777,219,360
1702461528.2694592,219,359
1702461528.301524,223,362
1702461528.3356924,226,362
1702461528.3696094,226,363
1702461528.4014995,220,339
1702461528.4355612,221,338
1702461528.472289,222,339
1702461528.5107417,222,340
1702461528.545577,223,341
1702461529.947307,258,362
1702461529.9813967,258,363
1702461530.0135894,257,364
1702461530.0476065,259,364
1702461530.0814345,260,351
1702461530.2158008,260,357
1702461530.3832722,258,355
1702461530.417328,258,359
1702461530.4494998,258,360
1702461530.4859233,259,362
1702461530.557979,263,363
1702461530.6705718,258,341
1702461530.9174204,264,352
1702461531.9262488,327,332
1702461531.961209,327,332
1702461532.0956204,326,331
1702461532.1296139,326,331
1702461532.2292137,326,329
1702461532.2633195,326,329
1702461536.8244462,286,351
1702461536.8520656,285,352
1702461536.886604,285,353
1702461537.1968536,279,352
1702461537.230971,278,352
1702461537.265015,276,353
1702461537.2969728,275,352
1702461537.3311927,275,351
1702461537.365265,275,351
1702461537.8276958,263,348
1702461537.8602824,263,349
1702461537.8948421,264,354
1702461537.934198,263,353
1702461537.968977,262,354
1702461538.0032024,261,353
1702461538.0371394,261,349
1702461538.069254,261,350
1702461538.1032465,260,349
1702461538.1369343,259,349
1702461538.1708598,259,350
1702461538.2047637,288,340
1702461538.2710915,261,357
1702461538.305183,262,355
1702461538.339463,260,356
1702461538.3732846,259,355
1702461538.4049468,258,356
1702461538.438909,261,343
1702461538.4751062,255,345
1702461538.512075,253,347
1702461538.5530293,251,350
1702461538.5836794,243,352
1702461538.603454,281,343
1702461538.6329756,283,342
1702461538.671845,283,340
1702461538.7061725,239,349
1702461538.7061725,327,330
1702461538.7330132,238,348
1702461538.766194,237,348
1702461538.9428782,243,356
1702461539.0429192,229,344
1702461539.0768046,227,342
1702461539.110714,226,347
1702461539.144753,225,347
1702461539.176814,227,351
1702461539.210994,226,353
1702461539.2450297,225,354
1702461539.2788534,222,353
1702461539.3127894,222,348
1702461539.3448315,222,348
1702461539.3788881,221,347
1702461539.4134493,220,347
1702461539.4474807,218,355
1702461539.4832888,217,344
1702461539.5185425,216,344
1702461539.556078,215,344
1702461539.5868864,214,347
1702461539.6104302,215,353
1702461539.6408906,220,355
1702461539.6831717,204,344
1702461539.7177222,222,344
1702461539.7405257,211,342
1702461539.7741866,210,343
1702461539.8099384,207,343
1702461539.845247,198,346
1702461539.8833065,198,347
1702461539.982882,206,331
1702461540.0168433,205,330
1702461540.0508661,203,329
1702461540.084858,201,329
1702461540.116918,200,329
1702461540.1507044,199,328
1702461540.184657,194,334
1702461540.2189183,191,336
1702461540.2528284,185,342
1702461540.3188586,187,336
1702461540.3528035,187,335
1702461540.386863,185,336
1702461540.4208708,184,341
1702461540.452821,186,348
1702461540.4900436,186,351
1702461540.5270548,185,352
1702461540.5621579,186,346
1702461540.591741,186,341
1702461540.6144698,186,343
1702461540.6463687,183,358
1702461540.691294,183,345
1702461540.7239358,179,343
1702461540.7514663,178,348
1702461540.7878702,178,347
1702461540.8223224,176,344
1702461540.856845,175,343
1702461540.8891475,174,344
1702461540.9230905,183,352
1702461540.957083,181,350
1702461540.9912183,178,349
1702461541.0249949,180,340
1702461541.0908833,160,354
1702461541.1248627,158,343
1702461541.1592727,155,345
1702461541.19336,157,349
1702461541.2249112,151,347
1702461541.293067,156,360
1702461541.3606586,160,368
1702461541.392837,144,355
1702461541.4269762,143,356
1702461541.4608254,135,347
1702461541.500256,141,351
1702461541.5368571,140,352
1702461541.5673888,139,352
1702461541.59941,135,350
1702461541.6244226,133,352
1702461541.652567,124,339
1702461541.6956282,128,353
1702461541.7333574,128,351
1702461541.7581167,126,351
1702461541.7884865,124,347
1702461541.8223944,121,348
1702461541.8595967,118,348
1702461541.8969655,113,348
1702461541.9308329,113,343
1702461541.9646814,110,347
1702461541.99677,108,355
1702461542.030805,106,348
1702461542.064796,103,347
1702461542.0994043,101,346
1702461542.1333566,99,341
1702461542.165268,97,341
1702461542.1994166,96,341
1702461542.2333179,96,351
1702461542.2673578,93,351
1702461542.301278,92,350
1702461542.3332114,87,353
1702461542.3673675,87,352
1702461542.4011986,84,353
1702461542.4328175,81,345
1702461542.4668405,79,341
1702461542.5047784,76,342
1702461542.5483212,75,348
1702461542.5798059,72,347
1702461542.5998945,70,351
1702461542.6270037,69,356
1702461542.6602063,63,354
1702461542.7049305,61,352
1702461542.7408094,56,347
1702461542.764495,58,349
1702461542.7966805,54,341
1702461542.8296306,52,340
1702461542.8667498,49,340
1702461542.905135,50,351
1702461542.9371262,47,344
1702461542.9712496,46,348
1702461543.0052552,44,349
1702461543.0386844,43,350
1702461543.0726757,41,350
1702461543.1047664,39,351
1702461543.1387763,38,336
1702461543.172896,35,336
1702461543.2068582,33,336
1702461543.2409883,31,342
1702461543.2730541,30,329
1702461543.3070447,30,341
1702461543.3410277,28,341
1702461543.3727927,28,344
1702461543.406733,27,343
1702461543.4412637,28,348
1702461543.4752936,26,345
1702461543.512899,25,355
1702461543.5476112,22,355
