time,x,y
1702461749.4836729,93,361
1702461749.7894998,91,361
1702461749.8023386,89,362
1702461749.809476,85,359
1702461749.8169322,81,357
1702461749.827599,79,358
1702461749.848837,76,366
1702461749.8825827,74,365
1702461749.957364,83,352
1702461749.991302,82,354
1702461750.0237653,78,356
1702461750.05797,81,359
1702461750.0917087,80,360
1702461750.125464,79,363
1702461750.159385,77,364
1702461750.1915321,75,353
1702461750.293273,63,367
1702461750.3273973,60,366
1702461750.3641326,59,366
1702461750.4122124,57,366
1702461750.5885673,66,365
1702461750.6261792,64,365
1702461750.6625571,61,365
1702461750.6959996,60,365
1702461750.730226,56,365
1702461750.7640026,54,366
1702461750.7965546,48,367
1702461750.8425953,47,366
1702461750.8846908,45,367
1702461751.299213,29,367
1702461751.3334036,30,367
1702461751.3738809,27,367
1702461751.602191,31,365
1702461751.6346717,30,365
1702461751.6692786,26,366
1702461751.8042233,18,367
1702461751.8416295,16,367
1702461752.139217,15,365
1702461752.1735158,13,366
1702461752.2074897,14,366
1702461765.7347324,12,337
1702461765.7668214,13,332
1702461765.8357496,17,332
1702461765.9332857,28,331
1702461766.0359116,40,331
1702461766.070961,41,334
1702461766.1029534,50,334
1702461766.1369708,51,336
1702461766.170744,56,337
1702461766.2047236,60,337
1702461766.2387986,70,343
1702461766.2707777,73,344
1702461766.3050556,78,347
1702461766.3386846,80,347
1702461766.372598,84,347
1702461766.4067948,87,347
1702461766.4559903,87,345
1702461766.4957128,90,346
1702461766.5148542,92,345
1702461766.5410037,99,344
1702461766.5697324,103,346
1702461766.599143,110,347
1702461766.6334052,114,354
1702461766.6685176,119,355
1702461766.7031188,129,344
1702461766.7409358,133,334
1702461766.77492,137,337
1702461766.8089528,138,337
1702461766.8439002,142,338
1702461766.8839107,146,339
1702461766.9185307,150,342
1702461766.9416385,152,336
1702461766.9732795,162,336
1702461767.0100265,167,334
1702461767.042869,175,347
1702461767.0768127,176,348
1702461767.1109505,179,347
1702461767.1450248,182,345
1702461767.1787019,184,344
1702461767.2105024,186,343
1702461767.244872,187,341
1702461767.2789884,191,343
1702461767.3125534,197,340
1702461767.3463345,201,347
1702461767.3784285,205,349
1702461767.4125938,210,349
1702461767.4608207,219,346
1702461767.5042734,221,345
1702461767.5272179,223,344
1702461767.5533695,224,343
1702461767.5817385,227,342
1702461767.6074266,235,343
1702461767.6394386,243,345
1702461767.6745737,248,349
1702461767.7109718,254,348
1702461767.7482948,256,347
1702461767.78237,259,346
1702461767.8146722,257,345
1702461767.8501105,259,344
1702461767.888335,263,343
1702461767.9207945,266,343
1702461767.9469123,271,337
1702461767.977493,283,337
1702461768.0149322,281,344
1702461768.0505612,292,344
1702461768.0848875,298,345
1702461768.1189816,301,344
1702461768.151115,304,344
1702461768.1850152,306,343
1702461768.2187042,307,344
1702461768.2526865,311,342
1702461768.2868068,317,344
1702461768.318629,323,343
1702461768.3524237,326,349
1702461768.386784,330,349
1702461768.4197764,338,347
1702461768.45912,341,347
1702461768.5020416,341,344
1702461768.5368533,347,343
1702461768.5619469,354,341
1702461768.5852072,357,342
1702461768.613615,359,342
1702461768.6474118,361,344
1702461768.6825104,364,345
1702461768.718979,367,344
1702461768.7544777,373,344
1702461768.7887568,377,339
1702461768.8236856,386,337
1702461768.859088,392,332
1702461768.8982117,397,338
1702461768.9292965,405,339
1702461768.954672,408,341
1702461768.9864748,413,341
1702461769.0228858,418,343
1702461769.0582547,419,345
1702461769.090507,425,345
1702461769.1245558,426,346
1702461769.1584253,430,344
1702461769.1923738,434,344
1702461769.2265136,441,340
1702461769.2585359,446,339
1702461769.29256,451,338
1702461769.3266594,455,334
1702461769.358734,457,342
1702461769.3926153,467,345
1702461769.430086,472,343
1702461769.476458,478,343
1702461769.5169902,482,342
1702461769.5425954,487,340
1702461769.5703597,490,341
1702461769.5960214,494,340
1702461769.6213531,497,343
1702461769.6552463,505,345
1702461769.6883366,509,345
1702461769.7248452,517,345
1702461769.7626505,528,342
1702461769.7965584,527,344
1702461769.832022,530,327
1702461769.871873,534,333
1702461769.9070086,545,325
1702461769.9336286,557,329
1702461769.962121,562,336
1702461769.9952974,566,338
1702461770.029964,571,339
1702461770.0646553,575,338
1702461770.0990357,578,335
1702461770.1330814,580,336
1702461770.166615,587,334
1702461770.1990645,597,330
1702461770.2334332,606,333
1702461770.2666225,612,334
1702461770.2985935,615,334
1702461770.3330722,617,332
1702461770.3669806,619,332
1702461770.400851,620,333
1702461770.4379172,620,337
1702461770.4769483,624,340
1702461770.5225365,628,347
1702461772.4144757,553,61
